Best_Acc	Student_ACC	EMA_ACC	Validate_Acc	Ema_Valid_Acc	
69.043687	69.823529	69.411765	68.910226	69.043687	
69.043687	68.470588	70.176471	68.840134	68.790206	
69.043687	67.352941	69.705882	65.863658	68.868939	
69.043687	68.411765	67.941176	66.998560	68.979357	
69.043687	69.647059	68.705882	67.914546	68.826692	
69.117619	68.235294	68.823529	67.596735	69.117619	
69.195391	68.058824	68.294118	68.674988	69.195391	
69.195391	69.529412	68.823529	68.609698	69.195391	
69.195391	69.294118	69.000000	69.291407	69.084974	
69.195391	69.411765	69.470588	68.845895	68.997600	
69.195391	69.058824	70.000000	68.624100	69.163706	
69.251080	67.529412	68.117647	67.638022	69.251080	
69.251080	68.470588	69.941176	69.080173	69.204993	
69.251080	70.705882	70.941176	68.518483	69.181949	
69.320211	67.647059	68.941176	69.366299	69.320211	
69.494959	68.470588	71.705882	68.790206	69.494959	
69.494959	68.647059	68.235294	68.375420	69.425828	
69.661066	68.705882	69.588235	69.518003	69.661066	
69.661066	70.235294	70.823529	68.540566	69.430629	
69.661066	68.823529	68.941176	68.545367	69.458473	
69.661066	68.882353	68.764706	68.960154	69.458473	
69.679309	68.000000	68.352941	69.296207	69.679309	
69.679309	70.176471	70.000000	68.841095	69.504561	
69.679309	69.411765	70.705882	68.352376	69.578493	
69.679309	69.000000	69.823529	68.601056	69.642823	
69.679309	70.117647	71.529412	69.545847	69.596735	
69.781085	70.411765	70.470588	69.417187	69.781085	
69.781085	68.823529	70.294118	68.454153	69.688910	
70.048008	70.235294	69.705882	68.900624	70.048008	
70.048008	70.647059	71.294118	67.803169	69.638022	
70.048008	69.411765	69.764706	69.536246	69.960634	
70.048008	70.352941	69.705882	68.669227	69.753241	
70.048008	69.294118	70.176471	69.065771	69.886702	
70.048008	70.764706	70.647059	69.559289	69.891503	
70.048008	69.352941	69.941176	69.444071	69.873260	
70.048008	70.058824	70.647059	70.163226	69.896303	
70.048008	70.764706	70.764706	70.416707	69.960634	
70.048008	69.411765	70.764706	70.034566	69.881901	
70.071051	71.823529	71.235294	69.840614	70.071051	
70.071051	70.235294	70.882353	69.642823	70.024964	
70.071051	70.352941	71.411765	69.725396	69.873260	
70.375420	69.352941	70.882353	69.807969	70.375420	
70.426308	69.294118	70.882353	70.817091	70.426308	
70.426308	73.176471	72.470588	69.449832	70.306289	
70.426308	71.294118	72.470588	69.468075	70.168027	
70.426308	71.000000	71.176471	69.549688	70.324532	
70.426308	71.058824	72.176471	69.992319	70.416707	
70.426308	68.941176	70.705882	69.845415	70.324532	
70.426308	71.823529	70.941176	69.618819	70.283245	
70.426308	70.647059	70.529412	68.891983	70.329333	
70.444551	70.058824	70.294118	70.891023	70.444551	
70.444551	70.529412	72.529412	68.941911	70.334133	
70.444551	69.823529	70.352941	69.527604	70.416707	
70.444551	71.411765	72.000000	70.029765	70.380221	
70.444551	70.529412	70.411765	71.084974	70.370619	
70.725876	70.529412	72.588235	69.693711	70.725876	
70.725876	71.588235	73.588235	70.983197	70.531925	
70.725876	71.941176	73.117647	70.407105	70.651944	
70.872780	69.647059	71.647059	70.438790	70.872780	
70.872780	70.411765	72.000000	69.527604	70.721075	
70.872780	72.058824	72.176471	70.707633	70.674988	
70.872780	71.294118	71.352941	69.794527	70.698032	
70.872780	72.235294	73.529412	69.909746	70.859337	
70.872780	71.176471	72.352941	71.015843	70.813250	
71.029285	74.058824	74.705882	70.877580	71.029285	
71.043687	72.764706	72.470588	70.315891	71.043687	
